stop_id,stop_name,stop_lat,stop_lon
3:100:01,Dworzec PKP,52.217974,17.275883
3:118:STOP,Inwalidów Wojennych,52.22775,17.280303
3:122:02,Dąbrowskiego/Szkoła,52.226185,17.282887
LIPO-00,Lipowa/Szkoła,52.225795,17.279257
3:127:00,Brodowska/BricoMarche,52.218943,17.289975
3:161:01,Brodowska/BricoMarche,52.218859,17.290056
3:113:01,27 Grudnia,52.2228271,17.2878975
3:113:00,27 Grudnia,52.2226412,17.2878644
